City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
247,College,US,64.8569,-147.8028,-23.69,96,5,2.89,clear sky
248,Fort Nelson,CA,58.8053,-122.7002,-18.45,89,100,1.92,overcast clouds
249,Jirikov,CZ,50.9951,14.5691,47.05,96,100,6.78,overcast clouds
250,Pisco,PE,-13.7,-76.2167,72.01,80,44,9.44,scattered clouds
251,Olafsvik,IS,64.8945,-23.7142,28.99,65,62,17.54,broken clouds
252,Ouesso,CG,1.6136,16.0517,79.0,57,89,2.53,overcast clouds
253,Sisimiut,GL,66.9395,-53.6735,12.6,62,13,10.63,few clouds
254,Qaanaaq,GL,77.484,-69.3632,-19.93,68,0,6.78,clear sky
255,Yashkul,RU,46.1711,45.3435,37.62,87,31,5.93,scattered clouds
256,Smithers,CA,54.7804,-127.1743,-3.95,82,100,3.36,overcast clouds
257,Meghraj,IN,23.5,73.5,67.26,23,0,5.68,clear sky
258,Griffith,US,41.5284,-87.4237,34.29,81,100,6.91,light snow
259,Antalaha,MG,-14.9003,50.2788,75.9,95,100,7.25,heavy intensity rain
260,Luebo,CD,-5.35,21.4167,70.2,87,92,0.51,overcast clouds
261,Hambantota,LK,6.1241,81.1185,77.36,85,86,4.52,overcast clouds
262,Erattupetta,IN,9.7,76.7833,74.03,90,100,2.04,overcast clouds
263,Kaitangata,NZ,-46.2817,169.8464,50.85,94,48,2.39,scattered clouds
264,Hohhot,CN,40.8106,111.6522,-0.11,65,0,6.71,clear sky
265,Marrakesh,MA,31.6315,-8.0083,71.67,40,0,6.91,clear sky
266,Solnechnyy,RU,50.7214,136.6319,10.26,91,83,11.45,light snow
267,Sinop,TR,41.7711,34.8709,41.74,68,0,7.87,clear sky
268,Kashan,IR,33.9831,51.4364,44.78,47,74,2.26,broken clouds
269,Yeppoon,AU,-23.1333,150.7333,65.98,72,96,8.1,overcast clouds
270,Port Lincoln,AU,-34.7333,135.8667,59.45,88,45,10.13,scattered clouds
271,Bethel,US,41.3712,-73.414,41.36,77,100,1.99,overcast clouds
272,Anloga,GH,5.7947,0.8973,81.7,74,64,11.23,broken clouds
273,Sampit,ID,-2.5333,112.95,74.86,97,98,4.09,overcast clouds
274,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.92,76,100,10.33,overcast clouds
275,Yulara,AU,-25.2406,130.9889,67.77,82,87,11.27,overcast clouds
276,Kamaishi,JP,39.2667,141.8833,40.6,62,69,23.87,broken clouds
277,Half Moon Bay,US,37.4636,-122.4286,54.18,82,75,5.75,broken clouds
278,Beckley,US,37.7782,-81.1882,42.67,94,100,11.5,overcast clouds
279,Garissa,KE,-0.4536,39.6401,86.41,49,98,4.9,overcast clouds
280,Konan,JP,35.3317,136.8704,37.94,48,80,11.83,broken clouds
281,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.52,79,57,17.25,broken clouds
282,Little Chute,US,44.28,-88.3184,13.8,81,100,13.8,snow
283,Coquimbo,CL,-29.9533,-71.3436,70.11,59,0,12.01,clear sky
284,Tahta,EG,26.7693,31.5021,58.55,48,1,8.3,clear sky
285,North Platte,US,41.1239,-100.7654,-6.88,61,26,24.0,scattered clouds
286,Letterkenny,IE,54.95,-7.7333,42.69,95,100,4.65,overcast clouds
287,Show Low,US,34.2542,-110.0298,51.08,24,0,0.0,clear sky
288,Maturin,VE,9.75,-63.1767,87.64,74,62,11.5,broken clouds
289,Zhezkazgan,KZ,47.8043,67.7144,4.21,100,58,1.77,broken clouds
290,San Quintin,MX,30.4833,-115.95,65.64,39,16,2.42,few clouds
291,Lata,PT,40.1629,-8.3327,60.08,93,99,3.49,overcast clouds
292,Primorsk,UA,46.7348,36.3443,41.54,91,100,8.46,overcast clouds
293,Rio Grande,BR,-32.035,-52.0986,75.22,56,14,15.95,few clouds
294,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,18.41,broken clouds
295,Hushitai,CN,41.9322,123.5114,1.31,70,99,10.54,overcast clouds
296,Brae,GB,60.3964,-1.353,39.18,61,94,19.95,overcast clouds
297,Mount Isa,AU,-20.7333,139.5,82.17,61,100,5.75,light rain
298,Hervey Bay,AU,-25.2986,152.8535,70.99,67,98,5.5,overcast clouds
299,Touros,BR,-5.1989,-35.4608,84.7,59,24,11.63,few clouds
300,Mayo,US,38.8876,-76.5119,42.94,92,100,10.36,moderate rain
301,Along,IN,28.1667,94.7667,53.02,91,59,1.77,broken clouds
